Кафе Хитрые люди8.433 отзыва;пер. 4-й Сыромятнический 1/8 стр 10;Курская;+7 (926) 459-76-27;неизвесно;8.4;33;https://www.restoclub.ru/uploads/menufile/8/b/b/0/8bb02c29d6f0c8023e13ea4821162c77.pdf;Сегодня до 00:00
Бар Аляска9.75 отзывов;пер. Бобров 4, стр. 1;Чистые пруды;+7 (499) 455-58-57;неизвесно;9.7;5;https://www.restoclub.ru/uploads/menufile/7/a/6/d/7a6dd6e407bc2c3ae80204cce72d2459.webp;Сегодня до 00:00
Ресторан Leningrad/Ленинград8.551 отзыв;пр. Ленинградский 24а;Белорусская;+7 (495) 492-50-62;неизвесно;8.5;51;https://www.restoclub.ru/uploads/menufile/4/b/d/5/4bd504ceccd862b005318a22b58bba6f.pdf;Сегодня до 06:00
Паб Buddy McDaniel/Бадди Макдэниэл104 отзыва;ул. Малая Дмитровка 20;Маяковская;+7 (495) 187-85-87;неизвесно;10;4;https://www.restoclub.ru/uploads/menufile/f/3/e/6/f3e68d723702efdd7b1c2ed86896c5df.pdf;Круглосуточно
Ресторан Sakura Place9.417 отзывов;наб. Софийская 30с1;Новокузнецкая;+7 (968) 525-40-90;неизвесно;9.4;17;https://www.restoclub.ru/uploads/menufile/7/9/9/3/799384e5b2fccc2aaa84367e01010fa0.pdf;Сегодня до 00:00
Бар Подкоп;Подкопаевский пер. 4, стр. 7;Китай-город;+7 (495) 492-50-78;неизвесно;неизвесно;неизвесно;https://www.restoclub.ru/uploads/menufile/7/c/8/0/7c80b3886490c879ade3a03d87f3f151.webp;Сегодня до 00:00
Ресторан Casa Agave/Каса агава9.627 отзывов;пер. Б. Черкасский 17;Китай-город;+7 (926) 569-33-83;неизвесно;9.6;27;https://www.restoclub.ru/uploads/menufile/d/e/7/0/de7036ec1beaaaf5a696d7fcf210193e.pdf;Откроется в 12:00
Бар Камин1028 отзывов;Малая Сухаревская площадь 2/4;Сухаревская;+7 (916) 718-44-76;неизвесно;10;28;неизвесно;Откроется в Ср в 20:00
Ресторан Cepage/Сепаж1022 отзыва;ул. Красная Пресня 32-34, с.3;неизвесно;+7 (495) 646-02-18;неизвесно;10;22;https://www.restoclub.ru/uploads/menufile/6/d/6/2/6d623ca78e678aa2694bea4e39965464.pdf;Сегодня до 00:00
 Elysium Hall/Элизиум Холл1077 отзывов;Пречистенская наб. 17-19;Кропоткинская;+7 (495) 185-00-05;неизвесно;10;77;https://www.restoclub.ru/uploads/menufile/5/a/d/9/5ad9eae9912233f75842719bdd775fe2.pdf;до последнего гостя
 Virgins/Верджинс9.556 отзывов;ул. Марксистская 34, стр. 10;Крестьянская Застава;+7 (495) 921-22-23;неизвесно;9.5;56;https://www.restoclub.ru/uploads/menufile/2/4/f/7/24f72e39aadde8fc5f0f91982e9d975e.pdf;Откроется в 21:00
Ресторан O2 Restaurant/о2 ресторан8.19 отзывов;ул. Тверская 3;Охотный Ряд;+7 (495) 225-81-81;неизвесно;8.1;9;https://www.restoclub.ru/uploads/menufile/4/0/d/3/40d3d822ff459dc01727beab4c5b0710.pdf;Сегодня до 00:00
Бар High Bar/Хай бар1014 отзывов;Преснесенская набережная 6 стр.2;Деловой центр;+7 (905) 532-07-70;неизвесно;10;14;https://www.restoclub.ru/uploads/menufile/5/7/0/6/5706a58c1cfcee647050bd881f0ddfbd.pdf;Откроется в Чт в 18:00
Гастробар LongDrink/Лонг дринк;Переведеновский пер. 21, стр. 7;Электрозаводская;+7 (495) 120-25-37;неизвесно;неизвесно;неизвесно;https://www.restoclub.ru/uploads/menufile/3/6/6/e/366ed3746e1869e1fc5f7993407c9917.png;Сегодня до 05:00
Бар After One Bar/Афтер уан100 отзывов;ул. 1905 года 4;Улица 1905 года;+7 (499) 757-80-28;неизвесно;10;0;https://www.restoclub.ru/uploads/menufile/5/3/5/3/5353093f9b2fdf8999e83eecd49ed376.pdf;Сегодня до 23:00
Ресторан Only Wine/Онли вайн9.82 отзыва;ул. Мытная 46/2 стр.3;Шаболовская;+7 (985) 129-46-46;неизвесно;9.8;2;https://www.restoclub.ru/uploads/menufile/7/3/c/e/73cecd3b6bd15ff0a8d0816ac831a98f.pdf;Откроется в 12:00
Лаунж Timeless Якиманка/Таймлес9.886 отзывов;ул. Большая Якиманка 22;Полянка;+7 (495) 153-19-53;неизвесно;9.8;86;неизвесно;Сегодня до 03:00
Лаунж Istina Lounge/Истина лаунж;Сокольническая площадь 4А;Сокольники;+7 (936) 514-18-55;неизвесно;неизвесно;неизвесно;https://www.restoclub.ru/uploads/menufile/8/3/5/b/835b8e8f9ab27446b084860691c84e07.pdf;Откроется в 12:30
Гастробар Хлеб и вино9.89 отзывов;ул. Тверская 12, стр. 2;Тверская;+7 (901) 147-91-36;неизвесно;9.8;9;https://www.restoclub.ru/uploads/menufile/2/e/7/3/2e7394bf6f9091022671b88532dc5c5d.pdf;Откроется в 12:00
 16 тонн8.732 отзыва;ул. Пресненский Вал 6с1;Улица 1905 года;+7 (915) 274-72-65;неизвесно;8.7;32;https://www.restoclub.ru/uploads/menufile/6/0/b/1/60b1f47f3e9e0a18d106e0370f7329c5.pdf;Сегодня до 06:00
Ресторан Sapiens/Сапиенс9.911 отзывов;ул. Льва Толстого 16;Парк культуры;+7 (495) 487-15-44;неизвесно;9.9;11;https://www.restoclub.ru/uploads/menufile/1/e/6/0/1e6035930293eb1e70f78571a62a7677.pdf;Откроется в 09:00
Кафе Невинные сплетни102 отзыва;ул. Бауманская 13, с. 1;Бауманская;+7 (925) 533-75-75;неизвесно;10;2;https://www.restoclub.ru/uploads/menufile/6/9/c/b/69cbca412659c256d1e84b6050b5bb92.pdf;до последнего гостя
